judul_ciptaan,jenis_ciptaan,nomor_pencatatan,nama_pencipta,dosen_terkait,file_asli
JENGGALA BESTARI,Program Komputer,000621490,"Dr. Rini Untari, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
JENGGALA BESTARI,Program Komputer,000621490,"Dr. Gatot Widodo, S.Pd., M.Pd",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
JENGGALA BESTARI,Program Komputer,000621490,"Dina Sri Suprajanti, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - JENGGALA BESTARII.pdf
PLANIRIA,Program Komputer,000621473,Luthfy Anugrah Kesuma Perdana,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
PLANIRIA,Program Komputer,000621473,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
PLANIRIA,Program Komputer,000621473,"Dr. Ir. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
PLANIRIA,Program Komputer,000621473,"Dr. Rini Untari, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
PLANIRIA,Program Komputer,000621473,"Dina Sri Suprajanti, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
PLANIRIA,Program Komputer,000621473,"Dr. Occy Bonanza, S.P., M.T",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - PLANIRIA.pdf
Word Game Square Nature,Program Komputer,000614025,Muhammad Rizky,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - Word Game Square Nature.pdf
Word Game Square Nature,Program Komputer,000614025,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - Word Game Square Nature.pdf
Word Game Square Nature,Program Komputer,000614025,"Dr. Ir. H. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - Word Game Square Nature.pdf
Word Game Square Nature,Program Komputer,000614025,"Dr. Occy Bonanza, SP., M.T",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - Word Game Square Nature.pdf
Word Game Square Nature,Program Komputer,000614025,"Oktovianus, S.Hut.,M.Sc",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Program Komputer - Word Game Square Nature.pdf
Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk,Program Komputer,000861487,"Ratna Sari Hasibuan, S.Hut., M.Si",Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.,Program Komputer Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk Edukasi Dan Konservasi Satwa.pdf
Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk,Program Komputer,000861487,"Dr. Ir. Rinekso Soekmadi, M.Sc.F.Trop",Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.,Program Komputer Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk Edukasi Dan Konservasi Satwa.pdf
Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk,Program Komputer,000861487,"Prof.Dr.Ir.Heri Purnomo, M.Comp",Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.,Program Komputer Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk Edukasi Dan Konservasi Satwa.pdf
Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk,Program Komputer,000861487,Dr. Eng. Nur Budi Mulyono,Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.,Program Komputer Pemanfaatan Augmented Reality (AR) Berbasis Lokasi Untuk Edukasi Dan Konservasi Satwa.pdf
Biodiversitas di Kampus IPB University,Buku,000223938,"Dr. Ir. Abdul Haris Mustari, M.Sc.F.Trop.",Dr. Ir. Abdul Haris Mustari M.Sc.,Screenshot 2026-05-21 141217.png
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Dr. Yudi Setiawan, S.P., M.Env.Sc.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Prof. Dr. Ir. Lilik Budi Prasetyo, M.Sc.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Benni Purwonegoro, S.Kom, M.Sc","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Dr. Liyantono, S.T.P., M.Agr.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Arif Kurnia Wijayanto, S.T.P., M.Sc.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Dr. Rahmat Pramulya, MS.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
EcoSystem Ver. 2.0: Sistem Pintar Deteksi Cepat Konversi Lahan,Program Komputer,000257617,"Muhammad Hasannudin Yusa, S.Komp., M.Sc.","Prof. Dr. Ir. Lilik Budi Prasetyo M.Sc.; Dr. Yudi Setiawan S.P., M.Env.Sc.; Arif Kurnia Wijayanto S.TP., M.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/EcoSystem Ver. 2.0 Sistem Pintar Deteksi Cepat Konversi Lahan.png"
Koneka-Box (Exploring Indonesia's Biodiversity): Wisata Virtual Berbasis Edukasi tentang Keanekaragaman Hayati Indonesia,Film,000290904,Rahmah Zikra Utami,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/koneka box.png"
Koneka-Box (Exploring Indonesia's Biodiversity): Wisata Virtual Berbasis Edukasi tentang Keanekaragaman Hayati Indonesia,Film,000290904,Anisa Dwitama Graduita,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/koneka box.png"
Koneka-Box (Exploring Indonesia's Biodiversity): Wisata Virtual Berbasis Edukasi tentang Keanekaragaman Hayati Indonesia,Film,000290904,Anggita Utami Cahyaningtyas,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/koneka box.png"
Koneka-Box (Exploring Indonesia's Biodiversity): Wisata Virtual Berbasis Edukasi tentang Keanekaragaman Hayati Indonesia,Film,000290904,Fikri Ahmad Haidar Nurlhida,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/koneka box.png"
Koneka-Box (Exploring Indonesia's Biodiversity): Wisata Virtual Berbasis Edukasi tentang Keanekaragaman Hayati Indonesia,Film,000290904,"Dr. Eva Rachmawati, S.Hut, M.Si.","Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/koneka box.png"
Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat,Peta,EC002025183910,Qori Pebrial Ilham,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat.png"
Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat,Peta,EC002025183910,Priyanto,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat.png"
Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat,Peta,EC002025183910,Lufthi Rusniarsyah,"Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat.png"
Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat,Peta,EC002025183910,"Dr. Eva Rachmawati, S.Hut, M.Si.","Dr. Eva Rachmawati S.Hut., M.Si.","Dr. Eva Rachmawati, S.Hut, M.Si/Peta Foto Udara Areal Tanaman TOSO di Hutan Pendidikan Gunung Walat.png"
